year,wb_gdp_deflator,wb_cpi,wb_inflation_cpi_pct,wb_exchange_rate_uzs_usd,wb_real_gdp_growth_pct,wb_real_gdp,wb_real_gdp_per_capita,wb_gdp_current_usd,wb_gni_per_capita_atlas,wb_agriculture_pct_gdp,wb_industry_pct_gdp,wb_services_pct_gdp,wb_population,wb_dependency_ratio,wb_unemployment_pct,wb_participation_pct,wb_participation_female_pct,wb_employment_agriculture_pct,wb_employment_industry_pct,wb_employment_services_pct,wb_capital_formation_pct_gdp,wb_trade_pct_gdp,wb_exports_pct_gdp,wb_imports_pct_gdp,wb_remittances_pct_gdp,wb_current_account_pct_gdp,wb_fdi_pct_gdp,wb_reserves_months,wb_external_debt_usd,wb_revenue_pct_gdp,wb_expense_pct_gdp,wb_net_lending_pct_gdp,wb_poverty_national_pct,wb_poverty_215_pct,wb_gini_index
1997,2.4224874732642,,,62.9166666666667,5.19999999656406,30655801318.6416,1290.28380529458,14744603773.5849,610.0,28.1986118362458,22.8733761248119,36.5480073298322,23758960,75.8326662845938,10.9,57.408,39.731,38.9458386820337,18.1515966559079,42.9025646620584,18.8993990766049,57.1985913618542,27.1091182703234,30.0894730915308,,,1.13126132489788,,2934807714.9,,,,,,
1998,3.36720806231675,,,94.4916666666667,4.30000000106274,31974000775.669,1324.80194060935,14988971210.8383,610.0,26.8,22.4,36.4,24134929,74.4279490840898,13.3,57.31,39.691,38.2168853127924,18.287488802015,43.495612387546,20.9006339688086,45.4179547762326,22.5642195291768,22.8537352470558,,,0.931351445248341,,3378314688.4,,,,,79.8,44.1
1999,4.85266413152183,,,124.625,4.30000000179402,33348882809.5964,1362.51315204654,17078465982.0282,650.0,29.0229534073079,21.0461041218419,36.5046555109787,24476008,72.6291482627593,13.3,57.299,39.797,37.4199904119504,18.6138513741708,43.9661450470982,17.1003354222844,36.6188588125863,18.1790891922618,18.4397696203245,,,0.7096656112296,,5315552892.0,,,,,,
2000,7.14761590683219,,,236.608333333333,3.83500000014025,34627812465.3912,1397.01202350998,13760513969.314,620.0,30.05590367367,20.2297579555228,37.1943727730679,24787054,70.5343533403284,12.301,56.977,39.638,36.7892194210918,18.7555180517343,44.4552625271739,19.6000122865217,44.0540299791129,24.662704263423,19.3913257156899,,,0.542857629929967,,4952972611.3,,,,,93.8,35.9
2001,10.3811599095306,,,,4.16383824998903,36069658565.9596,1437.5947280451,11401421329.1974,550.0,29.973808702008,19.9520841370069,38.2149310701886,25090283,68.206878584831,11.279,56.763,39.498,36.024472133399,18.9408802232919,45.0346599760646,21.0999939090005,56.776277587152,29.6751060849085,27.1011715022435,,,0.726225245162731,,5216140553.9,,,,27.5,,
2002,15.1028361081615,,,,3.97348819235708,37502882190.1015,1476.49258739973,9687788512.80184,450.0,30.1226812703015,19.3887412418459,37.898311454726,25399980,65.8327687506574,10.256,56.46,39.431,35.2582905545618,19.1609482473908,45.5807611980474,21.1999946310166,58.954524710746,30.9204450887224,28.0340796220236,,,0.674044441759953,,5145986275.0,,,,26.5,93.1,33.0
2003,19.145137861074,,,,4.23262738154382,39090239450.5479,1520.35493285443,10134453435.4603,420.0,28.4620073141,20.445956928078,37.4278748476229,25711259,63.6048706178502,9.22,56.135,39.187,34.4227446011705,19.4393000601376,46.137955338692,20.8,70.4592746850874,38.2375863470134,32.221688338074,,,0.815041487200325,,5328375077.6,,,,27.2,93.3,35.2
2004,22.1927134155856,,,,7.4490006055965,42002071623.9483,1613.64273882937,12030023547.8807,460.0,26.4440094608923,22.3056846912976,37.1821221760052,26029350,61.5072809151456,8.152,55.904,39.056,33.4116704565652,19.8481363464155,46.7401931970193,24.5,76.5956691950086,41.7898866324117,34.8057825625969,,,1.46799380148438,,5212039886.3,,,,26.1,,
2005,26.9488042147179,,,,6.95000719569107,44921218624.152,1704.33893207214,14307509838.8053,520.0,26.3310599495083,26.0120326061017,37.0429682103068,26356975,59.3766906615768,7.092,55.595,38.789,32.3936803534658,20.2648759895523,47.3414436569819,28.0,69.5252584247083,37.8090294786289,31.7162289460794,7.17193652621924,8.02147599172507,1.49216056466347,,4637855219.3,,,,25.8,,
2006,33.2725589473024,,,,7.45141847621767,48268486608.4542,1807.87328626177,17330833852.919,600.0,25.0794086599227,26.8384702412792,37.9585228805817,26699043,57.1652563080568,6.035,55.209,38.555,31.3322878537804,20.7474912278192,47.9202209184004,29.6100809944662,67.4712921717973,36.5136876387581,30.9576045330392,8.180185407437,9.98278095339078,1.19530557570436,,4520245666.3,,,,,,
2007,40.55828442873,,,,9.47300530544537,52840962905.7313,1951.57878907892,22311393927.8817,760.0,23.235899255055,26.8627172756297,39.7591344448386,27076008,55.1243231431766,4.99,54.974,38.426,30.1376511720839,21.3023661646641,48.559982663252,28.2057467186946,74.4141929762327,39.6709294075913,34.7432635686414,7.64888686011818,8.10827572787105,2.99176207276698,,4667749025.5,,,,,,
2008,51.4244916690254,,,,9.02916101784781,57612058529.871,2095.38214534409,29549438883.8338,970.0,19.6896057973097,29.0650709010567,41.3540741805193,27494774,53.4488462806641,4.89,54.898,38.415,28.9317165337553,21.8618159499155,49.2064774543675,32.0363460936417,79.7479920348578,41.1685228048386,38.5794692300191,12.2843587985737,10.775516002095,1.85438789059302,,5076578346.0,,,,,,
2009,60.3011637934267,,,,8.05093332733964,62250366950.6188,2228.0552685669,33689223673.2577,1150.0,18.6326849699042,30.3526438159739,41.365775808294,27939328,52.0994530058547,5.04,55.405,38.895,27.8584255886288,22.4140311486212,49.7275239932175,29.9477879762474,68.673142199791,34.6626309351177,34.0105112646732,6.46524882083396,5.22767728940485,1.81985173937585,,7296457110.2,,,,,,
2010,100.0,100.0,,,7.5971679610016,66979631884.1971,2359.64199067641,55544226552.8467,1460.0,24.0815269392886,22.1622742240766,43.0145644421747,28385506,50.9135971391737,5.36,55.374,38.961,26.9604574395174,22.8214036211282,50.218148399184,25.544196023924,44.1432918113775,21.7681099099648,22.3751819014127,6.18494354622285,4.10238879075232,2.99355724160322,,7986413935.7,,,,17.7,,
2011,121.377077008577,113.77974464766,13.7797446476602,,8.12793681625645,72423694043.5058,2512.68783806993,67404618404.5392,1880.0,26.469076721652,20.9577872359793,42.517157579188,28823196,49.8601391184231,4.96,55.55,38.883,27.2340544475864,22.84965392143,49.9163008256639,24.939068190188,44.3313973754476,21.14783078074,23.1835665947076,7.28053972389326,4.12954871071007,2.39605562355834,,8214908762.9,20.4504022965488,12.7779424393085,6.29483068006773,16.0,,
2012,139.171601583605,128.808686595277,13.2088026688373,,7.35682138899483,77751775857.5986,2657.09909084172,75318846931.3239,2460.0,25.9172267873847,21.6212598815199,42.4028358649983,29261903,49.0804585754969,4.87,55.798,39.101,26.7419149978203,22.8231892949853,50.4348867373135,28.061546236388,39.6570271654711,17.2861568343701,22.3708703311009,8.0829323297038,1.60515911912695,0.988125260232837,,8550628096.6,22.4337451048206,12.7811942899458,7.87789670853213,15.0,,
2013,156.923270463417,144.061481383188,11.8414333622049,2094.98846505376,7.9217749261021,83911096542.085,2823.00205379328,82674178351.6216,2780.0,24.5690997967973,22.4454210400664,43.7890193182563,29724065,48.7263222498675,4.86,55.877,39.191,27.2993593375509,22.8458937425096,49.8547557204896,25.4549637024881,37.5113183619111,16.5044788500077,21.0068395119034,7.79147129024255,1.59150571044043,0.836508133232868,15.1056874610672,10316705357.1,19.2082821510386,13.4093565613914,3.9017763452269,14.1,,
2014,177.477627869396,157.434843486255,9.28309356162695,2310.94815880696,7.71373911707978,90383779619.6224,2990.56339751192,91303765114.0144,3000.0,25.3540246715931,23.1082708333455,42.8265408523764,30222994,48.8305476003008,5.09,56.061,39.275,27.6562830050207,22.8827137262897,49.4610032686896,25.9149119018393,32.1925400076306,14.2075529776278,17.9849870300028,7.4633464579014,2.27365092203661,0.885698410750819,17.1694935734108,12218877368.7,18.5113941370606,13.2547455085531,3.42555205909821,,,
2015,195.230686124013,171.213355163693,8.75188196737508,2567.98721339827,7.94477659311639,97564568986.8161,3172.89899391083,97564568986.8161,3170.0,25.7597922930163,24.0318423015119,42.1671345961934,30749346,49.3359508232811,5.15,56.286,39.447,27.5816950924486,22.9042032680756,49.5141016394757,24.424590799647,27.1724545801626,12.1686103143078,15.0038442658548,4.9640763777428,0.918048539753847,1.06718996650784,19.0907622598069,13571303501.2,17.3563652514993,13.3096957639729,2.31888103169482,,,
