Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,153.0,201.0,235.0,230.0,250.0,264.0,239.0,235.0,258.0,323.0,372.0,479.0,513.0,609.0,523.0,405.0,467.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,15627.0,18078.0,20347.0,20437.0,19868.0,19570.0,18557.0,18005.0,18471.0,20915.0,25259.0,30180.0,36168.0,41612.0,33064.0,27456.0,30424.0
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,3949.0,4632.0,4732.0,4466.0,3931.0,3758.0,3507.0,3625.0,3975.0,4475.0,5163.0,6102.0,7075.0,7802.0,6463.0,5689.0,6139.0
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.0,1358.0,1633.0,1826.0,2004.0,2213.0,1883.0,1605.0,1728.0
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.0,984.0,879.0,1320.0
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,1068.0,1235.0,1336.0,1267.0,1072.0,1022.0,892.0,897.0,800.0,921.0,1203.0,1461.0,1822.0,2183.0,1645.0,1324.0,1431.0
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,577.0,708.0,863.0,995.0,1077.0,1033.0,1002.0,874.0,903.0,980.0,1219.0,1431.0,1620.0,1921.0,1380.0,1123.0,1216.0
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,998.0,1210.0,1433.0,1509.0,1506.0,1544.0,1348.0,1232.0,1249.0,1403.0,1710.0,2016.0,2479.0,2896.0,2145.0,1701.0,1865.0
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,880.0,995.0,1236.0,1312.0,1358.0,1416.0,1365.0,1402.0,1392.0,1603.0,1998.0,2263.0,2580.0,2924.0,2355.0,2039.0,2299.0
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,1115.0,1280.0,1492.0,1539.0,1702.0,1760.0,1643.0,1650.0,1630.0,1787.0,2006.0,2373.0,2865.0,3379.0,2366.0,1845.0,2083.0
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,1075.0,1270.0,1381.0,1420.0,1481.0,1449.0,1379.0,1311.0,1330.0,1485.0,1718.0,2082.0,2627.0,3079.0,2300.0,1995.0,2151.0
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,482.0,595.0,703.0,714.0,744.0,658.0,582.0,542.0,553.0,643.0,873.0,1082.0,1410.0,1735.0,1413.0,958.0,1069.0
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,698.0,804.0,820.0,765.0,835.0,835.0,785.0,706.0,700.0,786.0,908.0,1046.0,1237.0,1345.0,1124.0,922.0,991.0
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,444.0,526.0,549.0,534.0,568.0,566.0,547.0,579.0,610.0,752.0,884.0,1196.0,1568.0,1868.0,1685.0,1348.0,1503.0
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,581.0,685.0,740.0,760.0,829.0,636.0,609.0,627.0,638.0,721.0,1020.0,1277.0,1638.0,1915.0,1586.0,1260.0,1348.0
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,1270.0,1371.0,1746.0,1725.0,1585.0,1648.0,1613.0,1405.0,1439.0,1662.0,2051.0,2518.0,3054.0,2372.0,1720.0,1472.0,1664.0
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,1451.0,1624.0,1886.0,1936.0,1994.0,1991.0,2046.0,1942.0,843.0,915.0,1202.0,1521.0,1756.0,1867.0,1716.0,1421.0,1578.0
