Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,3.5,3.4,2.4,2.5,2.8,2.9,2.9,2.9,4.8,4.9,5.9,5.3,4.6,3.6,2.8,2.5
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,3.0,2.8,3.4,3.0,3.1,3.3,3.7,3.8,5.6,5.6,6.8,6.3,5.9,4.4,3.5,3.7
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,3.6,3.4,3.5,3.6,4.0,4.2,4.1,4.2,6.8,6.6,7.7,6.7,5.9,4.3,3.7,3.4
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,5.4,4.1,3.9,3.9,4.4,4.6,4.5,4.6,7.5,7.2,8.7,7.8,7.0,5.1,4.1,3.7
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,23.0,21.5,21.2,22.2,24.6,24.0,26.0,24.4,52.8,54.1,65.8,61.9,56.3,43.5,34.6,30.7
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,2.2,2.7,2.8,3.0,3.3,3.2,3.5,3.0,7.3,7.2,9.1,8.4,7.5,5.1,4.0,3.6
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,0.8,0.8,0.8,0.8,0.9,0.8,0.9,0.9,2.2,1.9,2.5,2.3,1.9,1.7,1.3,1.0
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,2.6,2.2,2.3,2.5,2.7,2.7,2.9,2.8,5.8,6.0,7.0,6.5,6.0,4.7,3.9,3.4
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,2.9,2.5,2.6,2.8,3.1,3.0,3.2,3.2,6.8,6.6,8.1,7.7,6.8,5.3,4.2,3.3
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,3.5,2.9,3.0,3.1,3.5,3.4,3.7,3.3,6.9,8.0,9.8,8.9,8.5,6.4,5.2,5.1
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.2,3.0,2.8,3.1,3.2,2.8,2.3,1.8,1.4
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,2.6,2.5,2.5,2.6,2.9,2.8,3.1,2.9,6.1,6.2,7.7,7.2,6.5,5.1,4.3,3.6
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,1.1,1.0,1.0,1.1,1.2,1.2,1.2,1.2,2.8,3.2,3.8,3.8,3.4,2.7,2.1,1.9
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,0.9,0.8,0.8,0.8,0.9,0.9,1.0,0.9,2.3,2.2,2.7,2.5,2.3,1.8,1.6,1.5
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,0.9,0.8,0.8,0.8,0.9,0.9,1.0,0.9,2.1,2.1,2.4,2.3,2.2,1.7,1.4,1.2
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,1.3,1.2,1.2,1.2,1.4,1.3,1.4,1.4,2.9,3.1,3.5,3.5,3.4,2.7,1.4,1.8
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,2.4,2.4,1.7,1.8,2.0,2.0,2.1,2.0,3.5,3.7,4.7,4.3,3.8,3.1,2.5,2.4
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,1.1,1.1,1.4,1.3,1.2,0.9,0.9,0.5
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,59.3,56.2,58.3,58.3,64.0,66.1,66.1,78.6,131.3,125.3,146.9,137.0,124.2,96.5,80.9,69.4
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,5.4,4.5,4.7,4.7,5.2,5.3,5.3,6.3,10.7,11.0,13.9,12.5,10.6,7.7,7.0,5.2
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.4,6.7,6.3,5.6,4.1,3.4,2.3
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.4,4.2
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,3.7,3.0,3.1,3.1,3.5,3.6,3.6,4.3,8.6,7.9,9.3,8.6,7.6,6.1,5.4,4.5
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,3.4,3.3,3.0,3.0,3.3,3.4,3.4,4.0,6.9,6.0,7.2,6.4,5.9,4.7,3.9,3.4
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,5.4,4.6,4.7,4.7,5.2,5.4,5.4,6.4,11.5,10.4,11.5,10.8,9.7,7.7,6.0,5.4
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,4.4,4.2,4.4,4.4,5.0,5.2,5.2,6.2,10.4,9.6,11.2,10.3,9.5,7.4,6.5,5.8
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,5.1,4.4,4.9,4.9,5.4,5.6,5.6,6.6,11.4,10.5,12.0,11.0,10.3,8.2,7.0,6.5
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,4.8,4.7,4.8,4.8,5.3,5.5,5.5,6.5,10.9,10.1,12.0,11.3,10.7,7.9,6.2,4.7
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,2.1,1.7,2.3,2.3,2.5,2.6,2.9,3.5,5.5,5.1,5.7,5.7,4.9,3.8,3.3,3.1
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,1.6,1.4,1.6,1.6,1.6,1.6,1.6,2.0,3.9,4.6,3.5,3.2,2.7,2.1,1.8,1.5
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,2.5,2.3,2.5,2.5,2.8,2.9,2.9,3.4,5.5,5.8,6.7,6.6,6.4,4.9,3.6,3.1
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,2.8,3.1,4.0,4.0,4.1,4.2,3.9,4.6,8.2,7.3,9.5,8.8,7.7,6.3,5.5,4.6
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,8.6,8.7,7.4,7.4,8.1,8.4,8.4,10.0,14.8,13.6,16.1,15.3,14.1,6.1,5.1,4.6
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,7.6,5.8,6.3,6.3,6.9,7.1,7.1,8.5,8.0,7.7,9.8,9.3,8.6,6.6,5.4,4.8
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,1.9,4.5,4.6,4.6,5.1,5.3,5.3,6.3,10.5,10.3,11.8,10.9,9.9,7.9,6.4,5.7
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,21.1,20.5,21.5,22.8,23.1,22.4,22.4,23.3,38.6,38.2,41.5,39.8,35.7,28.6,22.5,20.6
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,2.6,2.5,2.6,2.8,2.8,3.1,3.1,3.2,5.9,6.1,7.6,7.1,6.0,5.0,4.1,3.8
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,1.8,1.7,1.8,1.9,1.9,2.1,2.1,2.2,3.6,3.7,3.9,3.6,2.9,2.3,1.9,1.7
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.3,0.2,0.1
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,1.2,1.1,1.1,1.1,0.9,0.9,0.9,1.0,1.4,1.3,1.5,1.7,1.7,1.5,1.2,1.2
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,2.6,2.7,3.0,3.2,3.6,3.5,3.5,3.6,6.8,6.4,6.0,5.7,5.2,3.9,3.2,2.9
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,3.2,3.1,2.6,2.7,2.8,2.6,2.3,2.4,3.3,3.5,3.7,3.8,3.4,2.7,1.9,1.8
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,2.9,2.7,2.8,3.0,2.8,2.7,2.7,2.8,4.4,4.2,4.8,4.5,4.1,3.0,2.4,2.3
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,2.2,1.6,2.3,2.4,2.4,1.9,1.9,1.9,3.9,3.7,3.9,3.6,3.4,2.7,2.2,1.7
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,1.0,1.0,0.4,0.5,0.4,0.3,0.3,0.4,0.9,0.6,0.7,0.7,0.7,0.6,0.3,0.3
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.4,1.5,2.0,2.0,1.8,1.4,1.1,1.2
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,2.7,3.2,4.0,4.2,4.5,4.3,4.6,4.8,7.0,7.2,7.2,6.8,6.2,5.2,4.0,3.6
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,50.7,48.5,49.0,49.6,52.2,53.3,56.5,64.1,111.1,110.1,128.5,119.3,107.9,84.9,68.6,62.4
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,9.9,9.5,9.6,9.8,10.4,10.7,11.3,12.8,22.2,22.1,25.2,23.6,21.3,16.2,12.9,11.5
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,2.6,2.6,2.6,2.6,2.7,2.8,2.9,3.3,5.8,5.6,6.6,6.0,5.1,4.2,3.4,2.8
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,4.1,3.4,3.9,3.9,4.1,4.2,3.9,4.4,8.4,8.5,9.7,8.9,8.0,6.4,5.1,4.7
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,3.8,3.6,3.7,3.7,4.0,4.2,4.4,5.0,7.4,7.4,8.8,8.1,7.2,5.7,4.8,4.6
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,2.5,2.7,2.8,2.8,2.9,3.0,3.2,3.6,6.4,6.6,7.9,7.2,6.3,5.1,4.0,3.4
1714219,Pop tumani,Папский район,Pop district,Поп тумани,3.6,3.5,3.6,3.7,3.9,4.0,4.2,4.8,8.7,9.0,9.9,9.5,8.5,6.8,5.6,5.1
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,3.7,3.7,3.8,3.8,4.0,4.1,4.4,5.0,8.4,7.9,9.8,9.1,8.3,6.7,5.5,5.1
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,4.5,3.9,3.9,4.0,4.2,4.1,4.3,4.9,8.9,8.6,10.1,9.3,8.7,6.5,5.0,4.6
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,3.2,3.1,3.1,3.1,3.4,3.5,3.7,4.2,7.4,7.3,8.6,7.7,7.3,5.8,4.7,4.1
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,3.6,3.7,3.7,3.8,3.7,3.7,4.2,4.7,7.0,7.3,8.7,8.3,7.7,6.1,5.0,5.0
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,4.9,4.7,4.7,4.8,5.0,5.1,5.7,6.5,10.7,10.8,12.9,12.0,10.8,8.5,7.0,6.6
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,4.3,4.1,3.6,3.6,3.9,3.9,4.3,4.9,9.8,9.0,10.3,9.6,8.7,6.9,5.6,4.9
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,78.4,74.2,74.6,76.2,82.6,86.7,90.6,106.7,157.3,148.4,174.6,158.4,152.5,106.8,86.4,80.3
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,10.1,9.5,9.6,9.8,10.9,11.4,11.9,14.0,22.3,22.6,25.8,24.5,22.1,14.7,10.6,9.9
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,1.7,2.0,2.0,2.0,2.2,2.4,2.5,3.0,3.5,3.3,3.8,3.6,3.5,2.4,2.0,1.8
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,3.3,2.9,3.0,3.1,3.3,3.6,3.7,4.4,7.0,6.8,7.5,6.8,6.8,4.7,3.9,3.6
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,3.2,4.0,3.7,3.8,4.1,4.3,4.5,5.3,8.0,7.0,8.4,7.2,7.6,5.5,4.6,4.3
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,3.4,2.8,3.2,3.3,3.6,3.8,3.9,4.6,6.9,6.6,7.6,6.8,6.8,4.8,3.7,3.2
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,4.7,4.2,4.4,4.5,5.0,4.7,5.4,6.3,10.1,10.0,11.0,9.7,8.8,6.7,5.5,5.3
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,7.0,6.3,5.9,6.0,5.8,6.0,6.3,7.4,11.5,11.1,11.6,10.9,10.5,7.5,6.4,5.9
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,Қўшработ тумани,3.8,3.7,2.7,2.7,3.0,3.1,3.3,3.9,5.8,5.1,6.2,5.0,4.8,3.6,3.2,3.1
