Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,265.3,10.2,10.6,14.4,18.1,10.5,10.5,12.4,26.3,40.3,56.6,75.1,110.3,92.7,125.7
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,19.3,7.3,0.7,1.8,25.1,9.8,62.0,29.8,15.8,48.5,51.8,58.4,62.3,28.2,32.8
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,452.4,552.6,690.9,969.2,954.2,910.6,985.2,1101.6,1620.5,1749.9,1491.5,1920.5,2365.5,2892.4,3044.6
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,242.1,294.9,311.9,366.5,409.4,415.0,392.6,405.4,622.1,652.4,685.3,944.6,1219.5,1607.3,1681.9
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,4.7,0.7,1.2,1.0,3.4,0.9,1.6,11.3,15.3,16.2,17.9,25.6,27.7,50.5,64.0
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,3.1,7.9,3.8,2.7,6.1,10.8,14.0,38.0,54.7,49.8,40.8,48.6,47.9,45.7,55.2
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,5.0,6.3,7.9,16.2,19.5,18.9,33.2,40.2,38.7,41.2,20.0,25.5,23.2,25.5,43.5
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,14.6,9.6,113.8,171.2,179.9,106.5,138.4,188.7,243.0,219.1,137.3,216.0,253.5,248.5,282.8
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,1.3,2.1,1.3,4.6,9.6,1.5,2.9,1.1,23.0,29.9,12.8,24.7,30.6,22.8,28.0
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,2.6,2.1,3.5,4.3,5.8,6.1,4.1,15.9,9.6,98.9,38.0,19.9,39.4,156.5,37.3
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,Қўшработ тумани,0.0,0.1,0.0,0.0,0.0,0.4,1.2,8.3,3.3,2.4,3.7,4.3,7.9,7.2,22.0
1718218,Narpay tumani,Нарпайский район,Narpai district,Нарпай тумани,9.9,4.5,4.4,1.2,7.7,7.7,1.9,1.9,6.7,25.6,17.8,21.9,26.9,43.1,40.1
1718224,Payariq tumani,Пайарыкский район,Payaryk district,Паяриқ тумани,1.0,0.4,1.6,3.2,0.7,0.6,2.2,5.5,13.1,21.0,15.2,16.8,17.3,19.2,19.7
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,Пастдарғом тумани,34.4,41.4,34.7,32.3,29.4,14.8,24.2,24.1,55.1,73.6,46.7,55.3,75.4,69.2,65.7
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,Пахтачи тумани,1.6,0.1,0.1,0.3,0.7,1.0,3.4,9.7,25.2,14.3,24.2,21.4,21.8,13.5,18.5
1718233,Samarqand tumani,Самаркандский район,Samarkand district,Самарқанд тумани,30.1,39.7,49.0,58.8,78.6,84.3,114.4,118.4,157.4,165.7,122.6,169.9,195.7,207.2,270.7
1718235,Nurobod tumani,Нурабадский район,Nurabad district,Нуробод тумани,29.4,46.8,20.2,20.2,21.7,15.8,17.2,27.0,39.6,45.6,40.1,38.3,19.9,28.6,26.3
