Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,22.4,32.4,43.0,46.9,64.2,64.6,70.3,96.9,227.9,450.1,283.0,597.3,374.1,4119.8,5730.7
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,159.4,179.9,381.0,324.5,352.6,784.6,785.2,666.1,1432.5,2043.6,4586.2,6778.3,4527.8,4052.7,3487.8
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,25.8,38.6,50.5,57.6,178.6,114.0,96.7,102.0,290.5,373.1,365.3,509.8,584.7,556.2,604.8
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,22.6,39.0,41.9,49.9,60.3,75.1,73.5,95.1,176.8,372.7,214.7,426.0,461.5,369.5,784.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,440.8,580.3,792.5,1128.5,1200.9,1304.9,1449.7,1788.2,3606.3,7900.9,12545.4,9233.6,10373.9,14970.9,23515.4
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,121.3,154.5,223.2,272.2,302.8,465.5,475.1,856.1,1256.6,2638.4,2557.3,1982.0,2358.6,3476.5,4611.2
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,31.6,43.8,48.0,53.3,52.8,34.2,60.0,75.6,246.2,530.0,535.3,130.1,179.4,195.8,593.9
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,33.7,47.7,52.8,60.5,67.7,72.7,76.7,73.0,126.6,147.7,197.9,581.7,472.8,489.2,838.2
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,43.8,56.6,85.5,121.7,134.5,88.3,121.3,91.6,147.4,383.9,270.1,501.9,909.5,3248.5,2351.9
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,43.0,51.2,74.2,100.3,108.4,114.8,214.3,146.7,354.0,530.5,405.8,974.7,652.1,1566.6,5640.6
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,22.4,28.2,50.6,59.6,60.8,63.0,58.3,61.8,145.6,164.4,115.3,159.4,114.3,225.1,640.2
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,41.8,50.9,66.7,79.0,98.1,115.6,90.7,117.1,438.0,714.6,1072.2,999.9,554.1,797.6,2315.3
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,18.9,30.2,42.9,52.3,55.0,53.4,52.5,74.4,149.8,240.9,189.6,223.7,181.7,254.2,475.4
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,13.7,22.8,31.7,35.4,35.6,35.2,27.6,44.2,170.1,227.7,316.5,209.5,270.7,419.1,893.5
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,12.7,18.7,25.0,186.1,145.0,102.6,71.2,38.5,216.3,966.2,1296.4,341.2,184.5,363.3,1310.2
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,18.8,28.4,38.7,42.3,49.9,57.6,64.0,73.7,112.8,421.5,344.2,153.7,462.0,281.2,552.9
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,24.4,29.2,35.1,41.5,50.8,61.4,99.2,97.1,141.8,846.0,5168.7,2877.7,3941.6,3418.3,3150.5
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,14.7,18.1,18.1,24.3,39.5,40.6,38.8,38.4,101.1,89.1,76.1,98.1,92.6,235.5,141.5
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1792.8,2265.9,3072.2,3667.8,4721.8,5894.7,7304.4,11175.3,16518.5,24462.5,20557.6,17359.1,16012.8,21138.0,35482.5
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,284.1,219.4,476.4,429.8,895.7,1265.0,1283.9,2159.0,2328.7,2118.9,2062.5,3519.3,2662.3,3312.9,4571.0
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,164.4,164.0,133.0,159.0,226.4,323.0,863.1
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7,308.0,482.8
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,209.1,277.2,345.6,344.1,892.5,850.5,948.0,1120.3,1565.8,2189.3,4426.5,4628.3,2664.1,2648.7,3427.2
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,129.8,78.9,320.1,348.2,513.2,422.1,786.8,1346.1,777.0,656.9,213.2,326.5,329.1,333.7,523.3
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,23.2,50.1,57.2,178.5,134.3,76.9,58.5,61.1,141.6,4294.6,194.2,477.3,311.5,445.5,505.9
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,50.5,114.4,74.4,209.1,183.5,182.8,404.6,470.5,336.6,895.4,1120.3,649.4,752.4,738.3,759.1
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,49.1,76.4,76.4,185.6,104.0,228.7,231.5,334.2,421.0,191.6,273.4,414.7,521.0,624.2,486.0
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,30.5,57.0,61.7,185.1,77.0,168.6,118.1,128.7,310.4,381.9,808.4,1064.9,1261.3,713.0,1095.1
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,287.7,59.9,394.6,279.4,424.9,71.3,75.2,58.0,131.3,243.9,521.5,371.5,405.6,408.5,531.7
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,474.9,974.3,820.1,497.4,554.2,1086.7,1054.3,1263.2,2000.6,2503.4,3041.8,3064.1,3361.4,4083.2,5990.8
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,93.9,114.5,212.6,284.9,530.7,4125.8,1708.4,3729.6,7595.3,9686.3,6586.5,887.7,1821.4,4492.099999999999,12962.4
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,25.7,47.3,33.6,169.6,56.7,52.1,88.8,66.8,96.0,470.7,344.8,420.9,447.3,858.0,831.4
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,28.3,52.7,59.0,182.6,81.6,106.6,133.7,120.3,196.3,174.1,297.9,403.4,527.6,681.7,744.6
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,61.7,74.3,72.0,177.8,133.5,88.7,212.7,119.8,163.3,186.1,165.7,585.7,331.7,461.4,949.6
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,44.3,69.5,68.5,195.9,140.0,157.6,163.9,157.1,290.2,305.4,367.9,386.4,280.9,705.8,758.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1741.8,1421.9,1688.0,1696.9,1754.1,1809.1,2963.2,3977.9,10579.5,17646.3,15688.4,15020.1,17958.1,26398.6,33550.2
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,186.3,205.4,223.2,266.9,389.3,798.9,1810.8,2263.7,4474.4,6242.8,4586.3,3803.0,5150.0,5370.1,5601.1
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,149.4,168.4,200.1,277.5,379.5,124.5,212.9,577.6,2676.6,763.9,1627.9,1700.2,2469.2,3950.3,1175.6
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,87.0,136.4,373.1,326.3
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,8.2,24.2,24.0,60.7,50.0,51.1,57.9,45.9,89.7,1214.3,1687.6,1227.3,492.7,1045.5,1127.1
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,30.3,40.3,54.6,72.8,98.5,96.1,112.9,145.7,324.5,748.4,521.5,497.5,911.1,1099.3,1052.9
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,28.1,44.5,51.0,66.4,108.4,115.6,136.4,80.9,185.1,303.0,353.4,415.0,560.7,748.6,751.0
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,186.5,488.9,429.5,275.5,215.9,301.5,295.3,377.1,1449.5,3847.5,1616.7,2267.4,2228.3,3675.4,6323.7
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,26.2,29.9,34.3,39.7,40.6,44.0,48.2,62.6,146.2,378.3,336.9,459.9,1309.0,2218.8,3414.6
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,8.0,13.3,13.7,37.7,39.7,34.1,16.7,9.2,42.7,2909.3,2770.9,3371.8,3357.6,6182.2,11421.7
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,151.9,172.0,128.6,89.8,100.1,69.1,135.6,286.2,920.8,628.9,1240.4,269.1,271.0,591.0,1550.0
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,22.4,44.0,60.4,100.0,139.5,119.5,126.3,128.9,270.0,609.9,941.9,922.0,1072.0,1144.3,806.2
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,660.6,764.2,917.3,1205.1,1807.5,2227.5,2824.5,3586.7,8158.1,12084.9,12007.2,12982.0,14775.1,19220.1,54231.4
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,315.8,297.3,304.4,391.4,474.1,471.7,518.7,931.5,1667.4,3531.1,4440.0,5372.8,5544.3,6676.0,24666.8
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,18.3,24.0,31.0,38.8,51.5,46.7,70.2,139.9,321.0,275.2,295.6,354.0,454.8,473.1,1123.9
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,25.9,36.3,54.0,68.2,67.3,88.9,117.1,209.3,392.0,968.5,564.4,508.4,551.2,719.7,1665.2
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,41.5,48.0,80.9,109.6,152.5,159.3,218.9,292.6,458.4,609.1,1075.1,1136.4,1633.7,1481.4,2552.6
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,18.7,26.6,37.3,68.2,69.0,83.4,88.2,100.8,129.5,297.6,383.9,361.4,474.1,451.1,1385.5
1714219,Pop tumani,Папский район,Pop district,Поп тумани,30.0,47.4,62.7,99.2,529.3,790.7,764.3,534.4,338.4,600.4,788.3,1089.2,947.2,1675.9,7248.2
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,29.7,38.8,54.0,90.2,79.7,104.4,155.5,629.5,3638.4,3594.5,1203.8,1030.8,1571.1,1984.8,3598.3
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,30.7,59.1,71.3,89.7,84.4,99.7,109.5,126.0,169.9,565.5,546.6,387.5,373.1,798.3,1902.3
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,32.3,40.5,48.0,52.8,60.3,99.9,456.9,227.3,488.4,476.3,782.0,473.5,535.6,696.9,1802.4
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,24.2,40.3,50.0,62.8,78.6,79.4,95.3,124.3,177.0,250.8,388.3,608.9,639.3,1357.6,1995.1
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,51.0,56.5,61.2,68.1,86.7,97.8,117.5,142.2,215.4,428.5,1042.8,1156.9,1347.4,2181.3,4230.6
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,42.5,49.4,62.5,66.1,74.1,91.4,100.8,120.2,142.4,443.0,496.3,502.0,703.4,724.0,2060.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1083.1,1345.6,1586.0,2127.6,2540.4,3237.2,3623.5,4384.2,7061.4,10266.7,14656.4,15641.6,18917.1,25717.1,28946.9294
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,508.4,675.1,753.3,1096.3,1277.5,1695.7,1535.0,2150.9,2533.2,4113.1,6254.1,4577.5,5338.8,6236.2,9328.117
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,4.4,9.7,32.8,37.0,29.9,55.3,148.4,74.8,120.4,159.1,396.1,397.9,300.4,292.4,603.9414
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,24.6,26.5,45.6,63.6,74.0,95.1,174.3,150.0,331.9,605.9,643.2,401.3,383.9,549.2,814.3158000000001
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,20.2,23.1,38.3,48.9,62.6,73.1,99.7,163.8,235.0,333.0,426.0,540.2,397.5,730.4,1010.9171
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,23.7,29.2,51.5,70.6,63.2,105.5,151.8,120.1,193.5,394.4,519.6,409.2,650.2,893.5,1501.2441000000001
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,22.0,29.5,45.4,57.3,55.3,85.6,111.2,80.2,300.6,458.6,352.6,743.4,267.3,475.8,624.7347
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,23.7,33.2,66.4,77.9,86.8,116.4,116.8,98.8,177.8,177.2,249.6,317.3,1246.2,6501.8,1481.0465
