Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,30.7,39.0,64.4,79.6,116.8,160.0,174.1,176.7,215.7,319.6,409.9,435.6,405.5
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,351.3,433.8,433.9,488.7,251.3,272.9,323.3,416.0,457.8,973.2,1336.0,1663.7,204.8
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,4.7,8.1,11.0,17.4,50.0,91.9,84.3,82.8,108.0,140.7,199.4,368.7,138.1
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,15.0,23.5,27.8,35.6,81.2,126.3,136.7,146.4,174.2,335.1,300.1,412.2,152.4
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,28.7,41.4,49.0,73.6,125.2,166.8,182.9,191.7,242.1,326.0,485.3,684.3,365.3
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,8.9,13.5,20.0,28.3,75.2,116.6,137.3,136.4,152.8,215.7,290.6,403.1,218.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,256.9,312.8,382.6,442.1,573.6,878.1,1053.4,1299.5,1821.5,2351.6,2992.9,4009.7,4115.2
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,112.9,130.8,177.8,179.7,224.5,335.7,468.2,624.3,1004.6,978.7,928.6,1163.8,669.8
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,3.5,3.8,5.0,6.6,8.5,17.6,20.2,36.4,37.4,73.4,168.6,237.7,166.9
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,23.6,38.6,24.0,31.3,39.5,50.1,23.3,42.7,38.5,70.4,85.7,96.6,70.5
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,14.3,18.3,26.5,31.0,42.1,74.0,79.5,59.3,66.6,103.6,110.4,1180.5,2245.9
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,18.6,23.3,27.6,37.6,54.7,91.4,83.3,109.1,111.5,232.6,237.8,243.9,175.9
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,42.0,49.9,59.6,56.4,72.2,81.6,126.7,116.8,171.4,217.9,533.5,216.8,101.8
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,11.4,13.1,17.8,19.2,25.0,62.2,59.9,74.5,126.5,206.6,219.0,150.8,154.9
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,5.0,5.5,6.4,6.5,10.9,23.2,38.8,39.9,57.6,90.3,140.2,162.1,126.9
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,6.7,6.0,7.9,9.7,13.0,34.2,31.6,38.2,43.2,67.9,73.0,82.5,29.1
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,3.6,4.3,5.3,5.7,7.1,13.4,17.0,36.0,39.7,51.3,63.5,75.3,23.2
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,5.4,6.7,9.4,42.5,52.3,43.9,54.3,42.9,47.3,98.0,169.9,278.8,150.1
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,7.7,9.7,11.4,11.5,17.4,40.2,34.4,43.8,50.5,107.6,181.1,93.2,181.7
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,2.2,2.8,3.9,4.4,6.4,10.6,16.3,35.6,26.5,53.4,81.6,27.8,18.4
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,651.7,815.6,947.8,1498.2,1520.5,2094.3,2577.2,2549.3,2891.7,3899.8,4947.4,4660.9,3003.5
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,263.3,319.7,381.1,563.8,567.9,885.9,1190.5,856.5,919.3,1202.9,1485.0,1391.9,636.8
